"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Group.7","x"
"281",3,"Vida","C",14,"Y",1,3,7.7
"282",3,"MTH","D",14,"Y",1,3,6
"283",3,"Vida","F",14,"Y",1,3,6
"284",3,"MTH","H",14,"Y",1,3,8.6
"285",3,"Vida","H",14,"Y",1,3,7
"286",3,"MTH","S",14,"Y",1,3,5
"287",3,"Vida","S",14,"Y",1,3,NA
"288",3,"Hiline","C",12,"N",2,3,5.8
"289",3,"Hiline","D",12,"N",2,3,5.6
"290",3,"Hiline","F",12,"N",2,3,5.6
"291",3,"Hiline","H",12,"N",2,3,6.8
"292",3,"Hiline","S",12,"N",2,3,NA
"293",3,"MTH","C",14,"N",2,3,6.5
"294",3,"MTH","D",14,"N",2,3,8.8
"295",3,"Vida","D",14,"N",2,3,7
"296",3,"MTH","F",14,"N",2,3,9
"297",3,"Vida","F",14,"N",2,3,7.9
"298",3,"MTH","H",14,"N",2,3,9.5
"299",3,"Vida","H",14,"N",2,3,6.4
"300",3,"Hiline","D",12,"Y",2,3,4
"301",3,"Hiline","F",12,"Y",2,3,NA
"302",3,"Hiline","H",12,"Y",2,3,4.8
"303",3,"Hiline","S",12,"Y",2,3,6.6
"304",3,"MTH","C",14,"Y",2,3,8.7
"305",3,"Vida","C",14,"Y",2,3,8.4
"306",3,"Vida","D",14,"Y",2,3,6.2
"307",3,"MTH","S",14,"Y",2,3,8.5
"308",3,"Hiline","C",12,"N",3,3,4.5
"309",3,"Hiline","D",12,"N",3,3,5.3
"310",3,"Hiline","H",12,"N",3,3,6.5
"311",3,"Hiline","S",12,"N",3,3,5.5
"312",3,"MTH","C",14,"N",3,3,7
"313",3,"Vida","C",14,"N",3,3,NA
"314",3,"Vida","D",14,"N",3,3,7.5
"315",3,"MTH","H",14,"N",3,3,9
"316",3,"Vida","H",14,"N",3,3,7.5
"317",3,"MTH","S",14,"N",3,3,8.8
"318",3,"Hiline","C",12,"Y",3,3,6.3
"319",3,"Hiline","D",12,"Y",3,3,6.5
"320",3,"Hiline","F",12,"Y",3,3,4
"321",3,"Hiline","H",12,"Y",3,3,4.5
"322",3,"Hiline","S",12,"Y",3,3,4.9
"323",3,"MTH","C",14,"Y",3,3,6
"324",3,"Vida","C",14,"Y",3,3,7.7
"325",3,"Vida","D",14,"Y",3,3,8
"326",3,"MTH","F",14,"Y",3,3,NA
"327",3,"MTH","H",14,"Y",3,3,8.5
"328",3,"Vida","H",14,"Y",3,3,NA
"329",3,"MTH","S",14,"Y",3,3,NA
"330",3,"Vida","S",14,"Y",3,3,6
"331",3,"Hiline","C",12,"N",4,3,6.5
"332",3,"Hiline","D",12,"N",4,3,4.5
"333",3,"Hiline","F",12,"N",4,3,6.5
"334",3,"Hiline","S",12,"N",4,3,6.2
"335",3,"MTH","C",14,"N",4,3,10
"336",3,"Vida","C",14,"N",4,3,7.3
"337",3,"MTH","D",14,"N",4,3,NA
"338",3,"Vida","D",14,"N",4,3,7
"339",3,"MTH","F",14,"N",4,3,8.8
"340",3,"Vida","F",14,"N",4,3,7.6
"341",3,"MTH","H",14,"N",4,3,8.6
"342",3,"Vida","H",14,"N",4,3,7
"343",3,"MTH","S",14,"N",4,3,8
